immigrant,female,black,hispanic,white,mixedrace,urban1997,rural1997,never_married,married,separated,divorced,widowed,ever_in_gang,victim_breakin_lt12yrs,victim_bully_lt12yrs,victim_shooting_lt12yrs,victim_breakin_12to18,victim_bully_12to18,victim_shooting_12to18,VictViolentCrime,ms_suspension,hs_suspension,hs_grad,college_degree,ged,special_education_history,bilingual_education_history,gifted_education_history,veteran,age,days_ms_suspension,days_hs_suspension,number_grades_repeated,number_grades_skipped,years_education_completed,highest_degree,SAT_math_score_2007,SAT_verbal_score_2007,ACT_score_2007,number_schools_attended,parent_expectation_in_jail_by20,age_first_incarcerated,income1996IA,income1997IA,income1998IA,income1999IA,income2000IA,income2001IA,income2002IA,income2003IA,income2004IA,income2005IA,income2006IA,income2007IA,income2008IA,income2009IA,income2010IA,income2012IA,income2014IA,income2016IA,income_20,income_25,income_30,income_35,assets_20,assets_25,assets_30,assets_35,debts_20,debts_25,debts_30,debts_35,total_n_incarcerated,total_months_incarcerated,months_longest_incarceration,months_first_incarceration,number_jobs_since20,Incarcerated,RelativeDied,Homeless,HHHospital,HHJail,NumSchoolsAttended,EverSmoke,EverArrested
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,13,0,0,0,0,14,2,5,5,4,3,V,V,150.552,.,3505.9500000000003,6696,10425,9996,9576,27495,14919.642500000002,29224.800000000003,38972.5,29928,40959,49593.6,51480,60374.99999999999,.,50600.00000000001,19500,33300,52500,.,260,650,4420,.,500,8000,0,V,0,0,V,V,8,0,1,0,0,0,3,0,0
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,2,0,14,0,0,0,0,16,4,V,V,4,2,0,V,501.84,483.00000000000006,1869.8400000000001,1562.4,.,3398.64,.,7332,6089.6500000000005,.,.,53870.4,47785.5,48216,52800,50714.99999999999,56055.00000000001,55000.00000000001,.,41760,44100,.,14231,46550,22610,341145,0,24000,20000,10000,0,0,V,V,10,0,0,0,0,0,2,1,0
0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,V,V,V,0,15,0,0,0,0,16,4,V,V,5,2,0,V,878.2199999999999,966.0000000000001,.,3794.4,3127.5,3198.72,.,18330,60896.50000000001,76309.2,93534,107740.8,98301.6,110208,105600,118334.99999999999,128.9265,137500,2176,71400,88000,125000,1496,36720,408000,408000,0,0,0,0,0,0,V,V,8,0,1,0,0,0,2,0,0
0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,.,.,.,.,0,0,1,1,0,V,V,V,0,12,0,0,0,0,18,5,V,V,V,1,V,V,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3173.5000000000005,.,.,.,.,.,.,60960,.,V,V,5750,V,0,0,V,V,6,0,.,.,.,.,1,0,0
0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,V,V,V,0,12,0,0,0,0,20,5,4,5,5,2,V,V,.,.,1355.634,.,.,5997.5999999999995,9576,2749.5,.,811.8000000000001,7794.5,11971.2,14610.0753,27552,.,.,.,.,.,22400,.,.,.,12954,.,.,0,0,V,V,0,0,V,V,10,0,1,0,1,0,2,0,0
0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,15,0,0,0,0,15,2,4,5,5,2,0,V,1756.4399999999998,13910.400000000001,.,.,.,19992,.,.,.,.,.,.,.,.,.,.,.,.,13600,.,.,.,0,.,.,.,0,V,V,V,0,0,V,V,0,0,0,0,0,0,2,0,0
0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,.,0,0,1,1,0,2,2,2,0,16,0,0,0,0,20,4,V,V,3,2,0,V,5018.4,.,.,.,.,.,.,.,34798,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,0,I,7500,V,0,0,V,V,1,0,.,.,.,.,2,1,0
0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,16,0,0,I,I,12,2,V,V,V,3,0,V,250.92,120.75000000000001,.,.,.,2399.04,.,.,.,.,.,.,.,137.76,.,.,.,.,.,.,.,.,.,695,0,.,0,0,0,I,0,0,V,V,I,0,1,0,0,0,3,0,0
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,1,0,14,0,0,0,0,17,4,V,V,6,2,V,V,501.84,724.5,1168.65,.,.,2998.7999999999997,1915.1999999999998,.,.,9741.6,12471.2,11971.2,42324.3,.,9240,57959.99999999999,58297.200000000004,58300.00000000001,1330,9280,50400,.,66.5,199.5,6650,3990,0,15000,0,11000,0,0,V,V,8,0,0,0,1,0,2,0,0
0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,1,0,12,0,0,I,I,17,4,V,V,5,2,V,V,.,.,.,.,.,.,15321.599999999999,0,20878.800000000003,.,.,22446,16383.6,.,.,.,.,54340.00000000001,15240,.,.,.,4445,3810,24130,.,0,0,0,V,0,0,V,V,6,0,1,0,1,0,2,0,0
0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,2,0,15,0,0,0,I,16,4,V,V,4,2,0,V,250.92,.,3505.9500000000003,8928,14595,19992,24897.6,21996,24358.600000000002,42213.6,38972.5,41899.200000000004,36863.1,16531.2,1980,12074.999999999998,8968.800000000001,11000,13600,29750,1650,10000,2176,952,6800,102000,37500,I,9500,9000,0,0,V,V,18,0,0,0,0,0,2,1,0
0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,2,1,0,14,0,0,0,0,15,2,V,V,5,2,V,V,2509.2,1932.0000000000002,2337.3,3348,2085,3998.4,21067.2,31161,29578.300000000003,22730.4,.,6733.8,7918.74,.,30360,37432.5,.,.,14630,5220,32550,.,1330,.,665,.,0,59000,63600,V,0,0,V,V,6,0,0,0,0,0,2,1,0
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,2,0,15,0,0,0,0,20,5,V,V,5,2,0,V,7527.5999999999995,.,.,11160,20850,23990.399999999998,28728,36660,43497.5,40590,55808.62,52224.36,57342.6,63369.6,66000,24149.999999999996,39238.5,74800,16320,42602,55000,68000,30600,28152,81600,114920,0,24000,0,22000,0,0,V,V,9,0,0,0,0,0,2,0,0
0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,2,2,2,0,14,24,0,I,I,15,2,V,V,V,5,V,V,.,1690.5,4674.6,11160,10425,15993.6,.,31161,.,32472,15589,.,.,.,.,.,.,.,.,.,.,.,0,0,0,1.33,0,10000,2500,3400,0,0,V,V,2,0,1,0,0,0,5,0,0
0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,12,0,0,I,I,16,2,V,V,5,2,V,V,125.46,603.75,.,1116,1701.3600000000001,.,.,.,.,.,.,61352.4,40959,1542.912,.,.,560.5500000000001,.,.,1254.4,505,.,2286,.,8255,.,200,8000,43000,V,0,0,V,V,12,0,1,0,0,0,2,0,0
0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,.,1,0,2,2,1,0,14,0,0,V,V,.,6,V,V,5,V,V,V,.,2656.5,18698.4,17856,18765,15993.6,21067.2,22912.5,24358.600000000002,17859.600000000002,32736.9,49381.200000000004,24302.34,36506.4,38280,35017.5,.,.,14630,38280,30450,.,0,266,23674,36275.75,17100,39000,96000,96000,0,0,V,V,4,0,1,0,0,0,.,0,0
0,0,0,0,1,0,1,0,.,.,.,.,.,0,0,0,0,.,.,.,.,0,0,0,0,0,V,V,V,.,14,0,0,V,V,9,0,V,V,V,V,V,V,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,V,V,V,V,0,0,V,V,0,0,.,.,.,.,.,0,0
0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,.,1,0,1,0,1,V,V,V,0,12,10,0,V,V,14,1,V,V,V,V,V,22,.,.,.,.,.,.,.,10998,.,.,.,5985.6,.,.,6600,.,.,11000,.,.,.,.,0,1524,0,.,0,19000,97001,V,1,2,2,2,13,1,.,.,.,.,.,0,0
0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,V,V,V,0,12,0,12,0,0,18,2,V,V,I,2,V,V,125.46,.,.,.,2085,.,.,.,.,.,.,.,.,.,.,24149.999999999996,20179.800000000003,.,.,.,18180,.,.,635,0,.,V,4430,1200,V,0,0,V,V,4,0,0,0,0,0,2,1,0
0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,.,0,1,1,0,0,2,2,2,0,14,0,12,1,0,12,2,V,V,I,3,V,V,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29700.000000000004,.,.,.,.,0,.,.,0,0,V,V,0,0,0,V,V,4,0,.,.,.,.,3,1,0
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,2,2,2,0,12,7,8,0,0,12,2,V,V,V,2,V,V,301.104,241.50000000000003,116.86500000000001,3794.4,2502,19992,.,.,.,.,62356,59856,47785.5,.,55440,.,61660.50000000001,55000.00000000001,.,.,55550,.,2857.5,1016,68580,.,4000,8000,0,V,0,0,V,V,1,0,1,0,0,0,2,0,0
0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,2,2,0,13,270,63,I,I,12,2,1,1,I,6,V,V,75.276,.,.,.,.,1999.2,3830.3999999999996,.,6959.6,8118,.,.,5461.2,.,23760,21735,20740.350000000002,44000,.,4440,18900,.,.,149.5,91000,.,0,14415,0,V,0,0,V,V,15,0,1,1,0,0,6,1,1
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,I,I,I,0,15,0,0,0,0,14,2,V,V,V,2,0,V,1505.52,7245,.,40176,35445,57976.799999999996,55540.799999999996,65988,57416.700000000004,64944,67032.7,64345.200000000004,66899.7,67502.4,75240,68827.5,77355.90000000001,81400,39440,51170,62700,74000,4760,4624,55760,17000,0,25100,7000,3000,0,0,V,V,2,0,0,0,0,0,2,0,0
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,1,12,0,0,I,I,15,2,V,V,V,2,V,V,2258.2799999999997,2415,.,.,4170,1999.2,3830.3999999999996,.,.,30036.600000000002,31178,26935.2,.,46838.4,52800,54337.49999999999,.,52800.00000000001,.,38080,.,.,1905,.,.,.,1200,1000,0,V,0,0,V,V,2,0,1,0,0,0,2,0,0
0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,2,2,0,14,0,2,1,0,16,2,V,V,V,2,V,V,376.38,966.0000000000001,1869.8400000000001,4464,.,.,9576,1466.3999999999999,6959.6,.,31178,67338,40959,41328,39600,48299.99999999999,.,97900.00000000001,6650,52200,42000,.,399,1064,13300,15960,200,29000,49000,I,0,0,V,V,I,0,1,0,0,0,2,1,0
0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,2,2,2,1,12,6,0,0,0,13,2,V,V,3,2,V,V,301.104,483.00000000000006,.,.,2085,2998.7999999999997,5745.5999999999995,.,.,97416,.,62848.8,20479.5,.,.,36225,50449.50000000001,66000,.,.,45450,.,4762.5,1397,39370,.,0,2500,21000,V,0,0,V,V,7,0,1,0,0,0,2,1,0
0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,I,I,I,0,16,0,0,0,0,13,2,V,V,V,2,0,V,2509.2,16905,11686.5,26784,31275,49980,55540.799999999996,54990,59156.600000000006,.,55340.950000000004,56863.200000000004,61438.5,54415.2,52800,59771.24999999999,52915.920000000006,41800,20850,.,44000,47672,0,5004,67137,45175,40,20800,3000,5700,0,0,V,V,4,0,1,0,0,0,2,1,0
0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,V,V,V,0,13,52,42,V,V,13,2,V,V,V,V,V,V,125.46,.,.,.,7297.5,.,.,.,.,.,.,.,.,.,924,.,.,.,.,.,.,.,0,0,0,.,10000,4000,8750,V,0,0,V,V,5,0,0,0,0,0,.,1,0
0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,2,2,0,15,0,0,0,0,19,7,4,3,5,2,0,V,1505.52,4830,5843.25,8928,8340,9996,11491.199999999999,10998,13919.2,.,3117.8,.,32767.2,.,.,57959.99999999999,49328.4,44000,6800,2380,.,40000,53108,571.2,680,1360,0,65000,154000,166000,0,0,V,V,10,0,1,0,0,0,2,0,0
0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,2,0,16,0,6,I,0,12,2,V,V,V,3,0,V,.,3622.5,59014.4877,68350.53600000001,74138.43000000001,43982.4,84443.0832,71487,78295.5,97416,174931.9635,32920.8,81918,82656,79200,.,44844.00000000001,22000,49425.62,73800,66000,40400,0,20363.5,6255,.,0,3100,4800,0,0,0,V,V,15,0,1,0,0,0,3,0,0
0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,.,0,1,1,1,0,I,I,I,0,15,0,6,0,I,16,4,V,V,V,3,0,V,.,4830,2103.57,8928,37530,.,24897.6,30244.5,43497.5,32472,45956.371999999996,52374,36863.1,46149.6,46860,48299.99999999999,58297.200000000004,68200,.,35081.2,39050,62000,680,3400,23256,38080,10000,150,52500,82000,0,0,V,V,6,0,.,.,.,.,3,1,0
0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,2,2,2,0,15,0,0,0,0,17,4,V,V,5,2,0,V,1003.68,241.50000000000003,2804.76,2901.6,.,.,21067.2,20163,24358.600000000002,42213.6,40531.4,52374,47785.5,42705.6,42240,54337.49999999999,54597.57000000001,63250.00000000001,.,30940,35200,57500,4760,6052,8024,2720,0,25600,22000,8000,0,0,V,V,7,0,1,0,0,0,2,0,0
0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,V,V,V,0,14,0,0,V,V,11,1,I,I,V,V,V,V,.,33925.920000000006,28047.600000000002,44640,74138.43000000001,.,57456,36660,.,40590,62356,52374,54612,48216,99000,36225,65023.8,55000.00000000001,39900,40600,31500,.,931,1330,59850,13300,17000,10000,0,2000,0,0,V,V,I,0,1,0,0,0,.,1,0
1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,.,.,.,.,1,1,0,0,0,V,V,V,0,15,90,180,1,0,9,0,V,V,V,2,0,28,2509.2,.,.,.,.,.,.,.,.,42213.6,59238.200000000004,59856,51881.4,.,.,.,22422.000000000004,41800,.,45220,.,38000,.,.,0,136,I,0,0,53,1,7,7,7,14,1,.,.,.,.,2,1,0
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,2,2,0,16,0,2,0,0,12,2,V,V,V,2,0,V,.,14490,59014.4877,.,50040,84882.0336,15321.599999999999,27495,.,.,.,.,47785.5,61992,.,.,.,.,33360,.,.,.,4865,0,0,.,4000,500,10000,V,0,0,V,V,9,0,0,0,0,0,2,1,0
0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,0,16,0,0,V,V,9,0,V,V,V,V,V,V,2509.2,3139.5,2571.03,1339.2,12510,.,.,.,.,.,.,.,.,.,.,.,.,.,8340,.,.,.,0,.,.,.,600,V,V,V,0,0,V,V,4,0,0,0,0,0,.,1,0
0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,V,V,V,0,13,0,0,0,0,11,0,V,V,V,2,V,25,.,2415,4674.6,12276,2085,.,11491.199999999999,10998,7829.55,.,15589,11971.2,15018.3,13776,6600,9660,8408.25,.,7800,12210,8400,.,0,0,0,.,0,0,0,V,1,1,1,1,7,1,1,0,0,0,2,1,0
1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,2,2,0,16,0,0,0,0,16,4,V,V,4,3,0,V,.,.,.,44640,74138.43000000001,84882.0336,55540.799999999996,60489,57416.700000000004,74685.6,77945,64345.200000000004,88744.5,92988,89760,84525,.,93500.00000000001,49425.62,56580,74800,.,11120,33360,125100,215450,27500,56000,29000,10000,0,0,V,V,4,0,1,0,0,0,3,0,0
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,0,14,0,0,V,V,13,2,V,V,V,V,V,V,.,9660,1168.65,6696,52125,47980.799999999996,38304,54990,69596,.,70150.5,82302,54612,61992,66000,60374.99999999999,56055.00000000001,61600.00000000001,26600,63800,52500,.,1330,41230,66500,179550,17000,17100,17000,30000,0,0,V,V,9,0,1,0,0,0,.,1,0
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,1,0,14,0,0,0,0,20,7,V,V,5,4,V,V,752.76,4830,1869.8400000000001,669.6,2085,6997.2,21067.2,27495,8699.5,16236,54561.5,37410,.,.,.,66412.5,78477,157300,14630,29000,57750,.,9310,55860,53200,399000,0,37000,200000,160000,0,0,V,V,I,0,1,0,0,0,4,0,0
0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,2,1,0,14,0,0,0,0,20,5,V,V,5,4,V,V,.,9660,4674.6,.,.,5997.5999999999995,17236.8,18330,26098.500000000004,77932.8,106005.2,97266,95571,110208,112200,114712.49999999999,126684.30000000002,132000,11970,75400,99750,.,9310,159600,399000,399000,0,2800,0,0,0,0,V,V,2,0,1,0,0,0,4,0,0
0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,.,.,.,.,0,0,1,0,0,V,V,V,0,14,0,0,0,0,12,2,V,V,V,2,V,V,.,.,.,.,.,.,.,.,.,34095.6,.,34417.200000000004,33995.97,38572.8,.,.,.,60500.00000000001,.,26680,.,.,399,399,49875,21280,13300,12000,0,10000,0,0,V,V,4,0,.,.,.,.,2,1,0
0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,2,0,12,0,0,0,0,16,4,V,V,4,2,V,V,250.92,241.50000000000003,467.46000000000004,446.40000000000003,7297.5,7996.8,2872.7999999999997,4582.5,5219.700000000001,4870.8,7794.5,62848.8,60073.2,89544,87120,54337.49999999999,67266,93500.00000000001,3810,72800,60600,.,1270,36322,130810,.,0,10000,0,V,0,0,V,V,5,0,1,0,0,0,2,0,0
0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,2,0,15,0,0,0,0,16,4,4,4,4,2,0,V,.,14490,23373,15624,20850,15993.6,5745.5999999999995,36660,34798,73062,85739.5,90678.84719999999,79187.4,85411.2,92400,132825,123321.00000000001,154000,10880,65450,77000,140000,1360,1360,42840,183600,2000,37000,3000,20500,0,0,V,V,7,0,0,0,0,0,2,0,0
0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,2,0,13,2,0,0,0,14,3,V,V,V,2,V,V,.,1932.0000000000002,1752.9750000000001,2455.2000000000003,31275,59976,57456,129615.096,69596,56826,56120.4,.,.,.,.,.,.,.,91925.6,.,.,.,23400,104650,.,.,18000,500,V,V,0,0,V,V,2,0,1,0,0,0,2,0,0
0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,2,2,0,15,10,14,I,I,10,1,V,V,V,4,0,V,.,4830,7011.9000000000005,68350.53600000001,74138.43000000001,39984,34473.6,21996,26098.500000000004,34907.4,74827.2,44892,70995.6,49593.6,36960,54337.49999999999,.,.,27200,57120,30800,.,1088,734.4,2448,.,2600,900,0,V,0,0,V,V,15,0,1,0,1,0,4,1,0
1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,I,I,I,0,15,0,0,0,0,16,4,V,V,3,1,0,V,.,48.300000000000004,.,1874.8799999999999,3127.5,4798.08,9959.039999999999,.,50457.100000000006,47084.4,38972.5,3351.936,54612,27552,.,.,.,.,3264,29750,.,.,305320,108801.36,408000,408000,800,0,15000,21000,0,0,V,V,6,0,1,0,0,0,1,0,0
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,2,2,2,0,13,0,0,I,I,20,7,4,4,4,2,V,V,250.92,1449,1706.229,2232,6255,7996.8,7660.799999999999,7332,869.95,.,5693.102800000001,5464.8528,.,70159.7904,79764.96,80902.5,80719.20000000001,107673.50000000001,5200,.,70350,.,14300,28733.9,192400,.,0,0,0,V,0,0,V,V,9,0,1,0,0,0,2,0,0
0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,2,0,14,0,0,I,I,12,2,V,V,V,2,V,21,376.38,289.8,467.46000000000004,13392,15637.5,21991.2,45964.799999999996,.,46977.3,.,24942.4,37410,.,.,7920,.,.,33000,31920,29000,.,.,532,2261,133,3325,500,0,2500,15000,3,58,31,18,9,1,0,0,0,0,2,0,.
0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,2,2,2,0,13,0,0,0,0,17,4,5,4,4,4,V,V,501.84,.,.,.,.,1099.56,2872.7999999999997,7332,8699.5,.,0,71827.2,81918,.,192722.64,217749.68249999997,134532,132000,5200,66600,189347.55,.,8226.4,50310,364000,.,1500,2800,0,V,0,0,V,V,4,0,1,0,0,0,4,0,0
0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,.,.,.,.,0,0,1,0,0,V,V,V,0,16,0,0,0,0,18,2,5,3,5,2,V,V,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10425,.,.,.,0,V,V,V,0,0,V,V,2,0,.,.,.,.,2,0,0
0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,1,0,15,0,0,0,0,19,5,V,V,4,2,5,V,.,2415,2337.3,4464,6255,7996.8,9576,21996,19138.9,17859.600000000002,59238.200000000004,61352.4,61438.5,64747.2,55440,45885,50449.50000000001,52800.00000000001,5440,45220,46200,48000,3400,23800,94520,319600,300,2000,25000,28000,0,0,V,V,7,0,0,0,0,0,2,1,0
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,2,2,2,0,16,0,0,0,0,16,4,V,V,4,2,1,V,13800.599999999999,33925.920000000006,59014.4877,68350.53600000001,.,19992,28728,18330,20878.800000000003,19483.2,38972.5,40402.8,35497.8,34440,29040,48299.99999999999,22422.000000000004,38500,.,14760,24200,20200,556,11.12,834,1390,6000,0,4000,3100,0,0,V,V,12,0,1,0,0,0,2,1,0
0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,2,2,2,0,14,0,1,0,0,20,4,V,V,3,3,V,V,150.552,2415,467.46000000000004,2232,2085,.,3830.3999999999996,7332,.,17859.600000000002,14030.1,14964,34132.5,34440,.,.,.,.,2660,11600,.,.,113.05,567.91,399,.,0,15800,27500,I,0,0,V,V,14,0,0,0,0,0,3,1,0
0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,2,2,2,0,15,2,0,0,0,10,1,V,V,V,4,1,V,188.19,4347,4674.6,8928,43785,.,47880,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,340,680,.,.,0,0,V,V,0,0,V,V,5,0,1,0,0,0,4,1,0
0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,2,2,0,12,0,0,0,0,20,5,V,V,V,4,V,V,250.92,1207.5,2337.3,2232,4170,2998.7999999999997,3830.3999999999996,27495,17399,8118,.,.,6963.03,.,7260,.,9529.35,16500,12700,.,8585,.,0,1143,209.55,.,0,0,2440,V,0,0,V,V,15,0,0,0,0,0,4,0,0
0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,V,V,V,0,16,0,0,0,0,17,4,I,I,I,3,0,V,2509.2,1932.0000000000002,2337.3,17856,4170,5997.5999999999995,3830.3999999999996,47658,38277.8,.,.,.,.,.,.,.,.,.,2780,.,.,.,62550,.,.,.,0,3600,V,V,0,0,V,V,10,0,0,0,0,0,3,0,0
0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,1,0,13,0,0,V,V,19,5,V,V,5,V,V,V,.,241.50000000000003,233.73000000000002,223.20000000000002,.,3998.4,3830.3999999999996,.,.,487.08000000000004,53002.6,52374,55977.299999999996,67502.4,64680,59167.49999999999,57176.100000000006,13200.000000000002,.,45510,51450,.,7800,13000,.,.,0,0,0,V,0,0,V,V,5,0,0,0,0,0,.,0,0
0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,2,0,16,0,1,0,0,17,2,V,V,3,2,0,V,.,4105.5,12855.150000000001,24552,20850,14994,19152,21996,41757.600000000006,22730.4,40531.4,69582.6,52154.46,45460.8,50160,57959.99999999999,49328.4,73700,13900,17220,41800,44440,0,8687.5,74782,17375,0,3600,10000,4000,0,0,V,V,12,0,0,0,0,0,2,0,0
0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,2,2,2,0,15,38,36,I,0,10,1,V,V,4,3,0,V,.,.,.,17856,41700,.,2298.24,5499,.,64944,62356,23942.4,16383.6,0,.,60374.99999999999,33633,.,.,47600,.,.,0,0,.,28900,0,300,0,500,0,0,V,V,10,0,1,0,0,0,3,1,0
1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,0,14,0,0,0,0,14,2,5,2,3,3,V,V,.,33925.920000000006,14023.800000000001,13392,25020,16993.2,26812.8,.,.,.,.,.,.,.,.,.,.,.,18620,.,.,.,266,.,.,.,700,V,V,V,0,0,V,V,1,0,1,0,1,0,3,0,0
1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,12,0,0,0,0,13,2,V,V,4,3,V,V,.,.,.,.,3127.5,9996,22982.399999999998,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,V,V,V,V,0,0,V,V,0,0,1,0,0,0,3,0,0
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,2,2,0,12,0,0,0,0,16,4,I,I,4,2,V,V,.,1207.5,2337.3,2232,834,999.6,5745.5999999999995,4582.5,12179.300000000001,16236,23383.5,4489.2,.,.,.,50714.99999999999,56055.00000000001,71500,8890,.,50500,.,5080,1270,31750,.,0,0,0,V,0,0,V,V,6,0,1,0,0,0,2,0,0
