immigrant,female,black,hispanic,white,mixedrace,urban1997,rural1997,never_married,married,separated,divorced,widowed,ever_in_gang,victim_breakin_lt12yrs,victim_bully_lt12yrs,victim_shooting_lt12yrs,victim_breakin_12to18,victim_bully_12to18,victim_shooting_12to18,VictViolentCrime,ms_suspension,hs_suspension,hs_grad,college_degree,ged,special_education_history,bilingual_education_history,gifted_education_history,veteran,age,days_ms_suspension,days_hs_suspension,number_grades_repeated,number_grades_skipped,years_education_completed,highest_degree,SAT_math_score_2007,SAT_verbal_score_2007,ACT_score_2007,number_schools_attended,parent_expectation_in_jail_by20,age_first_incarcerated,income1996IA,income1997IA,income1998IA,income1999IA,income2000IA,income2001IA,income2002IA,income2003IA,income2004IA,income2005IA,income2006IA,income2007IA,income2008IA,income2009IA,income2010IA,income2012IA,income2014IA,income2016IA,income_20,income_25,income_30,income_35,assets_20,assets_25,assets_30,assets_35,debts_20,debts_25,debts_30,debts_35,total_n_incarcerated,total_months_incarcerated,months_longest_incarceration,months_first_incarceration,number_jobs_since20,Incarcerated,RelativeDied,Homeless,HHHospital,HHJail,NumSchoolsAttended,EverSmoke,EverArrested
0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,I,I,I,0,12,0,0,V,V,10,1,V,V,V,V,V,V,.,.,.,.,1251,.,.,18330,.,27601.2,26501.3,.,27306,.,.,36225,.,38500,.,.,.,.,0,8910.32,.,.,500,0,0,V,0,0,V,V,I,0,1,0,1,0,.,0,0
0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,.,.,.,.,0,1,0,0,1,V,V,V,0,16,0,4,V,V,11,1,V,V,6,1,0,V,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,V,V,0,0,0,0,V,V,1,0,.,.,.,.,1,0,0
0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,0,13,0,0,V,V,14,2,I,I,I,V,V,V,.,.,.,669.6,.,.,.,.,.,19483.2,.,.,27306,16531.2,15840,.,.,.,.,22200,.,.,650,195,.,.,0,7500,V,V,0,0,V,V,5,0,1,0,0,0,.,0,0
1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,2,2,0,14,0,0,V,V,16,3,3,3,V,1,V,V,.,.,.,.,6880.5,.,.,.,.,.,.,.,.,52348.799999999996,26400,.,.,22000,.,.,.,.,0,0,3990,4788,0,10000,3000,92000,0,0,V,V,3,0,0,0,0,0,1,1,0
0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,.,0,0,0,0,1,I,I,I,0,15,0,0,V,V,10,1,V,V,V,2,0,V,.,1115.73,.,.,.,.,.,40326,.,.,.,.,.,.,.,.,.,.,.,.,.,.,204,.,.,.,0,V,V,V,0,0,V,V,4,0,.,.,.,.,2,1,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,V,V,V,0,14,200,0,V,V,13,1,V,V,V,3,V,V,.,3139.5,1402.38,.,.,.,.,.,24358.600000000002,19483.2,.,.,.,.,.,27772.499999999996,31390.800000000003,60500.00000000001,.,.,24150,.,0,0,0,0,0,0,0,0,0,0,V,V,I,0,1,0,0,0,3,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,2,2,2,0,12,10,0,V,V,.,I,3,5,V,4,V,23,.,.,1928.2725,.,.,.,.,.,.,.,.,.,.,.,26400,.,.,.,.,.,.,.,0,0,0,.,0,0,0,V,1,18,18,18,6,1,1,0,0,0,4,0,0
0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,V,V,V,0,16,0,0,I,0,8,1,V,V,V,2,0,V,.,2415,4674.6,4464,.,.,42134.4,.,.,.,.,.,.,.,.,.,.,44000,.,.,.,.,0,.,0,0,300,V,0,0,0,0,V,V,1,0,0,0,0,0,2,0,0
1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,14,0,0,V,V,8,1,V,V,V,3,V,V,.,.,.,.,31275,41983.2,.,.,3479.8,.,21824.600000000002,18323.418,.,.,.,.,20179.800000000003,33000,.,14204.2,.,.,0,0,0,0,6000,0,0,0,0,0,V,V,6,0,1,0,0,0,3,1,0
0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,V,V,V,0,14,10,50,V,V,13,2,I,I,V,2,V,V,.,.,.,.,.,.,51710.4,18330,.,.,81062.8,.,.,68880,52800,60374.99999999999,58297.200000000004,82500,35910,.,52500,.,0,2660,45220,0,0,100,0,0,0,0,V,V,2,0,0,0,0,0,2,1,0
1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,2,2,0,13,0,0,V,V,16,3,2,2,V,3,V,V,.,966.0000000000001,.,.,12510,.,.,18330,.,45460.8,.,56863.200000000004,75091.5,74390.4,74993.16,66171,.,88000,13000,61050,57540,.,0,.,650,.,5000,31750,47500,V,0,0,V,V,6,0,1,0,0,0,3,0,0
1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,V,V,V,0,12,0,0,I,I,8,0,V,V,V,3,V,V,.,.,.,.,.,.,.,.,.,.,.,.,7372.62,.,.,1207.5,112.11000000000001,.,.,.,101,.,0,0,0,.,0,450,0,V,0,0,V,V,I,0,0,0,0,0,3,0,0
0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,2,0,13,0,0,V,V,8,1,V,V,V,2,V,V,.,.,.,.,.,.,.,.,.,.,6235.6,.,.,.,.,.,.,.,.,.,.,.,0,.,0,.,0,0,0,V,0,0,V,V,2,0,0,0,0,0,2,0,0
